chr,source,transcript,start,end,strand,gene
1,EVM,gene,168620098,168620424,-,TOC.1T.01163
1,EVM,gene,168621659,168622051,-,TOC.1T.01164
1,EVM,gene,168624616,168625077,-,TOC.1T.01165
1,EVM,gene,168629221,168630126,-,TOC.1T.01166
1,EVM,gene,168641438,168643069,-,TOC.1T.01167
1,.,gene,168753705,168802723,-,TOC.1T.01168
1,EVM,gene,168893116,169154201,-,TOC.1T.01169
1,EVM,gene,169196001,169196306,-,TOC.1T.01170
1,EVM,gene,169196565,169196975,-,TOC.1T.01171
1,EVM,gene,169205670,169205987,-,TOC.1T.01172
1,EVM,gene,169278850,169681150,-,TOC.1T.01173
1,.,gene,169748052,169774223,-,TOC.1T.01174
1,.,gene,169829967,169846900,+,TOC.1T.01175
1,EVM,gene,169847740,169848390,+,TOC.1T.01176
1,EVM,gene,169848614,169849225,+,TOC.1T.01177
1,.,gene,169851028,169856560,-,TOC.1T.01178
1,.,gene,169918235,169988695,+,TOC.1T.01179
1,EVM,gene,169997030,169997279,+,TOC.1T.01180
1,EVM,gene,170014490,170015107,-,TOC.1T.01181
1,.,gene,170052978,170120256,-,TOC.1T.01182
1,.,gene,170174550,170207178,-,TOC.1T.01183
1,EVM,gene,170264858,170268833,-,TOC.1T.01184
1,.,gene,170320672,170388156,+,TOC.1T.01185
1,EVM,gene,170448277,170450168,+,TOC.1T.01186
1,EVM,gene,170466948,170467274,+,TOC.1T.01187
1,EVM,gene,170627356,170627709,-,TOC.1T.01188
1,EVM,gene,170682389,170893309,+,TOC.1T.01189
1,EVM,gene,170896885,170897217,+,TOC.1T.01190
1,EVM,gene,170952038,170952364,-,TOC.1T.01191
1,EVM,gene,170973526,170973855,+,TOC.1T.01192
1,EVM,gene,170975168,170975364,+,TOC.1T.01193
1,EVM,gene,170987386,171151166,-,TOC.1T.01194
1,EVM,gene,171285182,171285559,-,TOC.1T.01195
1,EVM,gene,171285993,171288675,-,TOC.1T.01196
1,EVM,gene,171328508,171353897,-,TOC.1T.01197
1,EVM,gene,171353961,171822230,-,TOC.1T.01198
1,EVM,gene,171844614,171845636,-,TOC.1T.01199
1,EVM,gene,171907602,171907859,-,TOC.1T.01200
1,EVM,gene,172016796,172026817,-,TOC.1T.01201
1,.,gene,172028455,172072141,-,TOC.1T.01202
1,.,gene,172113801,172257064,-,TOC.1T.01203
1,.,gene,172289156,172413019,+,TOC.1T.01204
1,EVM,gene,172419214,172419576,+,TOC.1T.01205
1,.,gene,172425276,172454121,+,TOC.1T.01206
1,.,gene,172454465,172484832,+,TOC.1T.01207
1,EVM,gene,172707489,172707790,+,TOC.1T.01208
1,EVM,gene,172750696,172751305,-,TOC.1T.01209
1,EVM,gene,172880833,173012159,+,TOC.1T.01210
1,.,gene,173158666,173162200,-,TOC.1T.01211
1,EVM,gene,173186021,173457588,-,TOC.1T.01212
1,EVM,gene,173474974,173475280,-,TOC.1T.01213
1,.,gene,173524009,173558144,+,TOC.1T.01214
1,EVM,gene,173626950,173627801,+,TOC.1T.01215
1,.,gene,173661598,173663381,-,TOC.1T.01216
1,EVM,gene,173711873,173712688,+,TOC.1T.01217
1,EVM,gene,173712809,173713972,+,TOC.1T.01218
1,.,gene,173742253,173746311,-,TOC.1T.01219
1,.,gene,173746914,173801479,+,TOC.1T.01220
1,.,gene,173964742,174116652,-,TOC.1T.01221
1,EVM,gene,174155834,174156334,-,TOC.1T.01222
1,EVM,gene,174157034,174157699,-,TOC.1T.01223
1,EVM,gene,174190602,174191988,-,TOC.1T.01224
1,EVM,gene,174282010,174282486,-,TOC.1T.01225
1,.,gene,174656720,174657831,+,TOC.1T.01226
1,.,gene,174661637,174718638,+,TOC.1T.01227
1,.,gene,174806574,174829863,+,TOC.1T.01228
1,.,gene,174871449,175009496,-,TOC.1T.01229
1,EVM,gene,175052455,175052964,-,TOC.1T.01230
1,EVM,gene,175185483,175424271,+,TOC.1T.01231
1,.,gene,175429529,175494408,-,TOC.1T.01232
1,EVM,gene,175516774,175516957,-,TOC.1T.01233
1,EVM,gene,175570909,175571109,-,TOC.1T.01234
1,.,gene,175850652,175863244,+,TOC.1T.01235
1,EVM,gene,175888055,175888450,-,TOC.1T.01236
1,EVM,gene,175908746,175909054,-,TOC.1T.01237
1,EVM,gene,175913704,176157003,-,TOC.1T.01238
1,.,gene,176206812,176271084,+,TOC.1T.01239
1,EVM,gene,176274128,176274970,+,TOC.1T.01240
1,EVM,gene,176275482,176275928,+,TOC.1T.01241
1,.,gene,176313473,176884852,+,TOC.1T.01242
1,EVM,gene,176906852,176974746,+,TOC.1T.01243
1,EVM,gene,176987089,176987448,+,TOC.1T.01244
1,EVM,gene,176989855,176990166,+,TOC.1T.01245
1,EVM,gene,177030723,177030960,-,TOC.1T.01246
1,EVM,gene,177040416,177044036,+,TOC.1T.01247
1,.,gene,177127090,177146591,+,TOC.1T.01248
1,EVM,gene,177160631,177562543,+,TOC.1T.01249
1,.,gene,177653372,177688853,+,TOC.1T.01250
1,.,gene,179073548,179172600,+,TOC.1T.01251
1,EVM,gene,179320863,179844711,-,TOC.1T.01252
1,EVM,gene,179899281,179899678,+,TOC.1T.01253
1,EVM,gene,179900584,179900991,+,TOC.1T.01254
1,EVM,gene,179901455,179901943,+,TOC.1T.01255
1,EVM,gene,179903044,179903358,+,TOC.1T.01256
1,EVM,gene,179904063,179904395,+,TOC.1T.01257
1,EVM,gene,179904444,179904749,+,TOC.1T.01258
1,EVM,gene,180125332,180126375,-,TOC.1T.01259
1,EVM,gene,180285608,180286490,-,TOC.1T.01260
1,.,gene,180411164,180593584,+,TOC.1T.01261
1,EVM,gene,180457887,180458168,+,TOC.1T.01262
1,EVM,gene,180506764,180507141,-,TOC.1T.01263
1,EVM,gene,180515924,180516226,-,TOC.1T.01264
1,EVM,gene,180646900,180647208,-,TOC.1T.01265
1,EVM,gene,180658791,180659231,-,TOC.1T.01266
1,EVM,gene,180689866,180690318,-,TOC.1T.01267
1,EVM,gene,180693310,180693621,-,TOC.1T.01268
1,EVM,gene,180707318,180707707,-,TOC.1T.01269
1,EVM,gene,180709047,180709436,-,TOC.1T.01270
1,EVM,gene,180711478,180711954,-,TOC.1T.01271
1,EVM,gene,180712063,180713136,-,TOC.1T.01272
1,EVM,gene,180727395,180728729,-,TOC.1T.01273
1,EVM,gene,180729970,180730440,-,TOC.1T.01274
1,EVM,gene,180730447,180730836,-,TOC.1T.01275
1,EVM,gene,180730854,180731393,-,TOC.1T.01276
1,EVM,gene,180737941,180738477,-,TOC.1T.01277
1,EVM,gene,180746130,180746945,+,TOC.1T.01278
1,EVM,gene,180906132,180906518,+,TOC.1T.01279
1,EVM,gene,180908419,180908880,+,TOC.1T.01280
1,EVM,gene,181129383,181414243,-,TOC.1T.01281
1,EVM,gene,181540286,181540575,-,TOC.1T.01282
1,.,gene,181548503,181612202,-,TOC.1T.01283
1,.,gene,181640970,181798848,-,TOC.1T.01284
1,.,gene,181800154,181804630,-,TOC.1T.01285
1,EVM,gene,181834747,181835268,-,TOC.1T.01286
1,EVM,gene,181871745,182134686,-,TOC.1T.01287
1,.,gene,182315288,182316227,+,TOC.1T.01288
1,.,gene,182345895,182520542,+,TOC.1T.01289
1,EVM,gene,182976971,182977273,-,TOC.1T.01290
1,.,gene,183183431,183272814,+,TOC.1T.01291
1,EVM,gene,183283166,183287496,-,TOC.1T.01292
1,.,gene,183311309,183565213,+,TOC.1T.01293
1,EVM,gene,183570060,183570905,+,TOC.1T.01294
1,.,gene,183630748,183679801,+,TOC.1T.01295
1,EVM,gene,183702530,183704720,+,TOC.1T.01296
1,.,gene,183746074,184001064,+,TOC.1T.01297
1,EVM,gene,184019335,184315944,-,TOC.1T.01298
1,EVM,gene,184322737,184323528,-,TOC.1T.01299
1,EVM,gene,184331271,184331618,-,TOC.1T.01300
1,EVM,gene,184332786,184333166,-,TOC.1T.01301
1,EVM,gene,184370152,184371600,+,TOC.1T.01302
1,EVM,gene,184437162,184437548,-,TOC.1T.01303
1,EVM,gene,184437974,184438507,-,TOC.1T.01304
1,EVM,gene,184439361,184439834,-,TOC.1T.01305
1,EVM,gene,184440358,184441014,-,TOC.1T.01306
1,EVM,gene,184479659,184750031,-,TOC.1T.01307
1,EVM,gene,184853556,185403732,-,TOC.1T.01308
1,EVM,gene,185491973,185492356,+,TOC.1T.01309
1,EVM,gene,185493547,185494281,+,TOC.1T.01310
1,EVM,gene,185494399,185495184,+,TOC.1T.01311
1,EVM,gene,185515528,186079581,-,TOC.1T.01312
1,.,gene,186280190,186405833,+,TOC.1T.01313
1,.,gene,186436217,186507297,-,TOC.1T.01314
1,.,gene,186575704,186667253,-,TOC.1T.01315
1,EVM,gene,186815309,186815927,+,TOC.1T.01316
1,EVM,gene,186846738,186858786,+,TOC.1T.01317
1,EVM,gene,187123803,187124120,-,TOC.1T.01318
1,EVM,gene,187137311,187339868,-,TOC.1T.01319
1,.,gene,187391761,187512511,+,TOC.1T.01320
1,EVM,gene,187520637,187523596,-,TOC.1T.01321
1,.,gene,187560735,187658397,-,TOC.1T.01322
1,.,gene,187679162,187748274,+,TOC.1T.01323
1,.,gene,187814982,187886147,-,TOC.1T.01324
1,.,gene,187886125,187964715,+,TOC.1T.01325
1,EVM,gene,187990888,187993368,-,TOC.1T.01326
1,EVM,gene,188003544,188076840,+,TOC.1T.01327
1,.,gene,188109630,188208148,-,TOC.1T.01328
1,.,gene,188238194,188275943,+,TOC.1T.01329
1,.,gene,188322219,188454054,-,TOC.1T.01330
1,EVM,gene,188518557,188518870,+,TOC.1T.01331
1,EVM,gene,188539707,188540054,-,TOC.1T.01332
1,.,gene,188555459,188711062,-,TOC.1T.01333
1,.,gene,188797601,188964034,+,TOC.1T.01334
1,.,gene,188974590,189187105,+,TOC.1T.01335
1,EVM,gene,189187960,189188343,+,TOC.1T.01336
1,EVM,gene,189189945,189190307,+,TOC.1T.01337
1,EVM,gene,189190476,189190940,+,TOC.1T.01338
1,.,gene,189216411,189314485,+,TOC.1T.01339
1,.,gene,189362839,189479452,-,TOC.1T.01340
1,.,gene,189511308,189741677,+,TOC.1T.01341
1,.,gene,189769215,189907453,-,TOC.1T.01342
1,EVM,gene,189913384,189913896,-,TOC.1T.01343
1,EVM,gene,189914058,189914870,-,TOC.1T.01344
1,.,gene,189945497,189948593,+,TOC.1T.01345
1,EVM,gene,189997723,189998238,+,TOC.1T.01346
1,EVM,gene,190006582,190006908,+,TOC.1T.01347
1,.,gene,190247324,190405172,+,TOC.1T.01348
1,.,gene,190398550,190588454,-,TOC.1T.01349
1,EVM,gene,190622162,190675572,-,TOC.1T.01350
1,EVM,gene,190675684,190720501,-,TOC.1T.01351
1,.,gene,190897788,190965668,-,TOC.1T.01352
1,EVM,gene,191009752,191323027,+,TOC.1T.01353
1,.,gene,191363073,191416652,-,TOC.1T.01354
1,EVM,gene,191447505,191451019,-,TOC.1T.01355
1,EVM,gene,191505099,191505496,+,TOC.1T.01356
1,EVM,gene,191569688,191570026,-,TOC.1T.01357
1,EVM,gene,191574177,191794207,-,TOC.1T.01358
1,EVM,gene,191795745,191836024,+,TOC.1T.01359
1,EVM,gene,191842450,191843118,+,TOC.1T.01360
1,.,gene,191908122,192035622,-,TOC.1T.01361
1,.,gene,192067000,192089743,-,TOC.1T.01362
1,EVM,gene,192406131,192823882,+,TOC.1T.01363
1,EVM,gene,192845467,192845901,-,TOC.1T.01364
1,.,gene,192855868,192943171,-,TOC.1T.01365
1,EVM,gene,193018633,193018860,+,TOC.1T.01366
1,EVM,gene,193048706,193095591,+,TOC.1T.01367
1,EVM,gene,193100390,193100704,+,TOC.1T.01368
1,EVM,gene,193142701,193763595,+,TOC.1T.01369
1,EVM,gene,193796586,193796921,-,TOC.1T.01370
1,EVM,gene,193800880,193855914,-,TOC.1T.01371
1,EVM,gene,193864532,193864834,+,TOC.1T.01372
1,EVM,gene,193869927,194042631,+,TOC.1T.01373
1,EVM,gene,194054806,194056332,+,TOC.1T.01374
1,EVM,gene,194060247,194060573,+,TOC.1T.01375
1,EVM,gene,194066850,194067203,+,TOC.1T.01376
1,.,gene,194075615,194122745,+,TOC.1T.01377
1,.,gene,194136651,194333331,-,TOC.1T.01378
1,.,gene,194373172,194460615,+,TOC.1T.01379
1,.,gene,194546826,194715238,+,TOC.1T.01380
1,.,gene,194726383,194760384,+,TOC.1T.01381
1,.,gene,194780181,194866154,-,TOC.1T.01382
1,.,gene,194894629,194965704,+,TOC.1T.01383
1,EVM,gene,194966764,194967168,+,TOC.1T.01384
1,EVM,gene,194993386,195010710,+,TOC.1T.01385
1,EVM,gene,195016356,195016679,+,TOC.1T.01386
1,.,gene,195043290,195304920,+,TOC.1T.01387
1,.,gene,195370572,195482715,+,TOC.1T.01388
1,.,gene,195516579,195664384,+,TOC.1T.01389
1,EVM,gene,195838350,195962409,+,TOC.1T.01390
1,EVM,gene,195989068,195989418,+,TOC.1T.01391
1,EVM,gene,196023779,196024033,-,TOC.1T.01392
1,EVM,gene,196036809,196071954,-,TOC.1T.01393
1,.,gene,196112268,196125467,-,TOC.1T.01394
1,.,gene,196177501,196184169,+,TOC.1T.01395
1,EVM,gene,196190458,196190838,+,TOC.1T.01396
1,.,gene,196201132,196245185,-,TOC.1T.01397
1,.,gene,196247227,196298520,+,TOC.1T.01398
1,.,gene,196321580,196361324,+,TOC.1T.01399
1,.,gene,196403282,196488678,-,TOC.1T.01400
1,.,gene,196509756,196547192,+,TOC.1T.01401
1,.,gene,196568887,196645815,+,TOC.1T.01402
1,.,gene,196671311,196705171,-,TOC.1T.01403
1,.,gene,196721557,196760207,-,TOC.1T.01404
1,.,gene,196831991,196899428,+,TOC.1T.01405
1,EVM,gene,197090275,197108634,+,TOC.1T.01406
1,EVM,gene,197176311,197442059,+,TOC.1T.01407
1,EVM,gene,197454095,197454490,+,TOC.1T.01408
1,.,gene,197455710,197486650,+,TOC.1T.01409
1,EVM,gene,197537843,197563010,-,TOC.1T.01410
1,EVM,gene,197685819,197704768,-,TOC.1T.01411
1,.,gene,197716173,197857999,+,TOC.1T.01412
1,EVM,gene,197882699,197883028,-,TOC.1T.01413
1,EVM,gene,197886082,197886396,-,TOC.1T.01414
1,EVM,gene,197889447,197890022,-,TOC.1T.01415
1,EVM,gene,197896434,198037475,-,TOC.1T.01416
1,.,gene,198231364,198234594,+,TOC.1T.01417
1,EVM,gene,198236392,198236715,-,TOC.1T.01418
1,.,gene,198257531,198284126,+,TOC.1T.01419
1,.,gene,198309166,198388778,+,TOC.1T.01420
1,.,gene,198503716,198621516,-,TOC.1T.01421
1,.,gene,198648193,198652976,+,TOC.1T.01422
1,.,gene,198668269,198701708,-,TOC.1T.01423
1,.,gene,198759769,198816764,-,TOC.1T.01424
1,.,gene,199234171,199235719,-,TOC.1T.01425
1,.,gene,199294583,199344117,+,TOC.1T.01426
1,.,gene,199356957,199413920,-,TOC.1T.01427
1,.,gene,199379739,199545507,+,TOC.1T.01428
1,.,gene,199580780,199597705,+,TOC.1T.01429
1,.,gene,199726681,199827312,-,TOC.1T.01430
1,.,gene,199832468,199869020,-,TOC.1T.01431
1,.,gene,199913095,199965425,-,TOC.1T.01432
1,.,gene,199978572,200006802,-,TOC.1T.01433
1,.,gene,200045575,200076451,+,TOC.1T.01434
1,.,gene,200129660,200131224,+,TOC.1T.01435
1,EVM,gene,200171765,200239793,+,TOC.1T.01436
1,.,gene,200278208,200427589,-,TOC.1T.01437
1,EVM,gene,200442156,200479843,-,TOC.1T.01438
1,EVM,gene,200504230,200557870,-,TOC.1T.01439
1,EVM,gene,200670604,200671809,-,TOC.1T.01440
1,EVM,gene,200684853,200807241,-,TOC.1T.01441
1,EVM,gene,200808049,200808357,-,TOC.1T.01442
1,.,gene,200817661,201044035,-,TOC.1T.01443
1,.,gene,201084691,201138812,-,TOC.1T.01444
1,EVM,gene,201188622,201247826,+,TOC.1T.01445
1,.,gene,201278509,201468875,-,TOC.1T.01446
1,EVM,gene,201519997,201520619,-,TOC.1T.01447
1,EVM,gene,201523342,201523961,-,TOC.1T.01448
1,EVM,gene,201524555,201525934,-,TOC.1T.01449
1,.,gene,201534452,201714487,-,TOC.1T.01450
1,.,gene,201756718,201815374,-,TOC.1T.01451
1,EVM,gene,201980791,201981726,+,TOC.1T.01452
1,EVM,gene,202101444,202101926,-,TOC.1T.01453
1,.,gene,202511217,202551043,-,TOC.1T.01454
1,.,gene,202646677,202672171,-,TOC.1T.01455
1,EVM,gene,202683344,202683891,-,TOC.1T.01456
1,EVM,gene,202700932,202753021,+,TOC.1T.01457
1,EVM,gene,202756005,202756319,+,TOC.1T.01458
1,EVM,gene,202757580,202757900,+,TOC.1T.01459
1,.,gene,202761259,202836299,-,TOC.1T.01460
1,.,gene,202841929,202917152,+,TOC.1T.01461
1,.,gene,202919674,202929262,-,TOC.1T.01462
1,.,gene,202975767,203003770,+,TOC.1T.01463
1,.,gene,203051170,203067123,-,TOC.1T.01464
1,EVM,gene,203893008,203897171,-,TOC.1T.01465
1,EVM,gene,203897513,203897869,-,TOC.1T.01466
1,.,gene,204174345,204175074,+,TOC.1T.01467
1,EVM,gene,204246133,204246297,+,TOC.1T.01468
1,EVM,gene,204246400,204246581,+,TOC.1T.01469
1,EVM,gene,204373647,204376432,+,TOC.1T.01470
1,EVM,gene,204427246,204428511,+,TOC.1T.01471
1,.,gene,204966305,205055759,-,TOC.1T.01472
1,EVM,gene,205127202,205127472,-,TOC.1T.01473
1,.,gene,205160122,205255882,+,TOC.1T.01474
1,.,gene,205889790,205927153,+,TOC.1T.01475
1,EVM,gene,206224606,206224787,-,TOC.1T.01476
1,EVM,gene,206519591,206520019,-,TOC.1T.01477
1,.,gene,206583919,206627517,+,TOC.1T.01478
1,.,gene,206657832,206774942,+,TOC.1T.01479
1,.,gene,206843472,206921939,+,TOC.1T.01480
1,EVM,gene,206923860,206924159,-,TOC.1T.01481
1,EVM,gene,206927450,207010854,-,TOC.1T.01482
1,.,gene,207034802,207068015,-,TOC.1T.01483
1,EVM,gene,207102176,207529527,-,TOC.1T.01484
1,EVM,gene,207532613,207533308,+,TOC.1T.01485
1,EVM,gene,207533471,207533995,+,TOC.1T.01486
1,.,gene,207534471,207587783,-,TOC.1T.01487
1,.,gene,207610478,207714271,-,TOC.1T.01488
1,EVM,gene,207771937,207772317,-,TOC.1T.01489
1,EVM,gene,207773644,207810435,-,TOC.1T.01490
1,.,gene,207844734,207868923,+,TOC.1T.01491
1,EVM,gene,207862349,207863611,-,TOC.1T.01492
1,EVM,gene,207864489,207865044,-,TOC.1T.01493
1,EVM,gene,207870212,207870730,+,TOC.1T.01494
1,EVM,gene,207948085,207968471,+,TOC.1T.01495
1,EVM,gene,207968680,207969018,+,TOC.1T.01496
1,.,gene,208174702,208183493,+,TOC.1T.01497
1,.,gene,208200322,208231097,+,TOC.1T.01498
1,EVM,gene,208245247,208245573,-,TOC.1T.01499
1,.,gene,208248832,208254367,-,TOC.1T.01500
1,.,gene,208254470,208394899,+,TOC.1T.01501
1,.,gene,208413648,208435270,-,TOC.1T.01502
1,.,gene,208450481,208463763,+,TOC.1T.01503
1,EVM,gene,208470061,208470465,+,TOC.1T.01504
1,EVM,gene,208471943,208472416,+,TOC.1T.01505
1,EVM,gene,208481431,208507028,-,TOC.1T.01506
1,EVM,gene,208517692,208518474,+,TOC.1T.01507
1,.,gene,208530019,208566935,-,TOC.1T.01508
1,.,gene,208598798,208613648,-,TOC.1T.01509
1,EVM,gene,208864506,208974447,+,TOC.1T.01510
1,EVM,gene,208988364,208990194,+,TOC.1T.01511
1,EVM,gene,209117317,209117823,+,TOC.1T.01512
1,.,gene,209214380,209242976,+,TOC.1T.01513
1,.,gene,209271186,209292580,-,TOC.1T.01514
1,.,gene,209318534,209388558,-,TOC.1T.01515
1,.,gene,209470092,209530782,-,TOC.1T.01516
1,.,gene,209818053,209821771,+,TOC.1T.01517
1,.,gene,209869641,209889440,-,TOC.1T.01518
1,.,gene,209980788,209990638,+,TOC.1T.01519
1,.,gene,210617740,210638551,+,TOC.1T.01520
1,.,gene,210656855,210724310,+,TOC.1T.01521
1,EVM,gene,210854937,210865286,-,TOC.1T.01522
1,EVM,gene,210945078,210945269,+,TOC.1T.01523
1,EVM,gene,211051080,211051250,-,TOC.1T.01524
1,EVM,gene,211053925,211054232,-,TOC.1T.01525
1,EVM,gene,211057329,211061346,-,TOC.1T.01526
1,.,gene,211456400,211518099,+,TOC.1T.01527
1,EVM,gene,211547439,211602139,-,TOC.1T.01528
1,EVM,gene,211854589,211869025,+,TOC.1T.01529
1,EVM,gene,211894352,211903054,+,TOC.1T.01530
1,EVM,gene,211903067,211907981,+,TOC.1T.01531
1,.,gene,211931457,212067847,+,TOC.1T.01532
1,.,gene,212091763,212141812,+,TOC.1T.01533
1,.,gene,212164559,212176484,-,TOC.1T.01534
1,.,gene,212278072,212370426,+,TOC.1T.01535
1,.,gene,212414378,212427450,+,TOC.1T.01536
1,.,gene,212473623,212476311,-,TOC.1T.01537
1,EVM,gene,212497224,212498285,-,TOC.1T.01538
1,EVM,gene,212590159,212590953,+,TOC.1T.01539
1,EVM,gene,212777047,212828093,-,TOC.1T.01540
1,EVM,gene,212830698,212831174,-,TOC.1T.01541
1,EVM,gene,212834238,212898538,-,TOC.1T.01542
1,EVM,gene,212992631,212993623,+,TOC.1T.01543
1,EVM,gene,213133323,213133646,-,TOC.1T.01544
1,.,gene,213647230,213672266,-,TOC.1T.01545
1,EVM,gene,213703586,213719537,-,TOC.1T.01546
1,EVM,gene,213719783,213720213,-,TOC.1T.01547
1,.,gene,213735342,213756460,+,TOC.1T.01548
1,EVM,gene,213766354,213792414,-,TOC.1T.01549
1,EVM,gene,213792447,213882271,-,TOC.1T.01550
1,.,gene,213992568,214037538,-,TOC.1T.01551
1,.,gene,214079889,214139415,-,TOC.1T.01552
1,EVM,gene,214473768,214513415,+,TOC.1T.01553
1,.,gene,214518734,214522475,-,TOC.1T.01554
1,.,gene,214529018,214551463,-,TOC.1T.01555
1,.,gene,214551238,214575067,+,TOC.1T.01556
1,EVM,gene,214584399,214611626,+,TOC.1T.01557
1,EVM,gene,214613058,214613363,+,TOC.1T.01558
1,EVM,gene,214807363,214909687,+,TOC.1T.01559
1,.,gene,215093124,215109447,+,TOC.1T.01560
1,.,gene,215109653,215154545,-,TOC.1T.01561
1,EVM,gene,215325696,215326001,-,TOC.1T.01562
1,.,gene,215326581,215339375,-,TOC.1T.01563
1,.,gene,215348164,215410948,-,TOC.1T.01564
1,EVM,gene,215554422,215554784,+,TOC.1T.01565
1,.,gene,215830594,216010080,+,TOC.1T.01566
1,.,gene,216031257,216057660,-,TOC.1T.01567
1,.,gene,216190699,216244485,-,TOC.1T.01568
1,.,gene,216332762,216369614,-,TOC.1T.01569
1,.,gene,216423873,216433167,+,TOC.1T.01570
1,.,gene,216448715,216463765,-,TOC.1T.01571
1,EVM,gene,216954587,216955123,-,TOC.1T.01572
1,.,gene,216984852,217019060,-,TOC.1T.01573
1,EVM,gene,217082760,217118273,-,TOC.1T.01574
1,EVM,gene,217133934,217134374,-,TOC.1T.01575
1,.,gene,217332617,217342795,-,TOC.1T.01576
1,.,gene,217479911,217508552,-,TOC.1T.01577
1,EVM,gene,217536726,217537025,-,TOC.1T.01578
1,EVM,gene,217538381,217545135,-,TOC.1T.01579
1,EVM,gene,217549615,217610874,-,TOC.1T.01580
1,.,gene,217631879,217635739,+,TOC.1T.01581
1,EVM,gene,217648393,217985012,-,TOC.1T.01582
1,.,gene,218256915,218258293,-,TOC.1T.01583
1,.,gene,218313008,218314702,+,TOC.1T.01584
1,EVM,gene,218611709,218615495,+,TOC.1T.01585
1,EVM,gene,218616892,218617308,+,TOC.1T.01586
1,EVM,gene,218655774,218656286,-,TOC.1T.01587
1,.,gene,218719624,218735728,+,TOC.1T.01588
1,.,gene,218764251,218884955,+,TOC.1T.01589
1,.,gene,218903707,218953610,+,TOC.1T.01590
1,.,gene,218967261,219013729,+,TOC.1T.01591
1,.,gene,219050776,219181691,+,TOC.1T.01592
1,.,gene,219199496,219205194,+,TOC.1T.01593
1,EVM,gene,219220699,219332887,-,TOC.1T.01594
1,.,gene,219379531,219440355,+,TOC.1T.01595
1,.,gene,219439354,219451488,-,TOC.1T.01596
1,.,gene,219470575,219477701,+,TOC.1T.01597
1,.,gene,219503319,219515317,+,TOC.1T.01598
1,.,gene,219515469,219559124,-,TOC.1T.01599
1,.,gene,219558472,219596331,+,TOC.1T.01600
1,.,gene,219630075,219680321,+,TOC.1T.01601
1,.,gene,219682038,219689118,-,TOC.1T.01602
1,.,gene,219696581,219738093,+,TOC.1T.01603
1,EVM,gene,219754508,219766838,-,TOC.1T.01604
1,.,gene,219772580,219820284,-,TOC.1T.01605
1,.,gene,219833519,219875127,+,TOC.1T.01606
1,.,gene,219913022,219928147,-,TOC.1T.01607
1,EVM,gene,220701363,220701939,-,TOC.1T.01608
1,EVM,gene,220714360,220715349,+,TOC.1T.01609
1,EVM,gene,220716523,220716981,+,TOC.1T.01610
1,EVM,gene,220717146,220717769,+,TOC.1T.01611
1,EVM,gene,220720184,220720757,+,TOC.1T.01612
1,EVM,gene,220720813,220721136,+,TOC.1T.01613
1,EVM,gene,220734369,220763683,-,TOC.1T.01614
1,.,gene,220769674,220802537,+,TOC.1T.01615
1,.,gene,220830356,220849651,-,TOC.1T.01616
1,.,gene,220906364,220981298,-,TOC.1T.01617
1,.,gene,221012366,221058270,-,TOC.1T.01618
1,.,gene,221072260,221099047,-,TOC.1T.01619
1,EVM,gene,221135112,221135429,-,TOC.1T.01620
1,EVM,gene,221138917,221230136,-,TOC.1T.01621
1,EVM,gene,221311931,221342142,+,TOC.1T.01622
1,EVM,gene,221349107,221349514,-,TOC.1T.01623
1,.,gene,221349951,221357585,-,TOC.1T.01624
1,.,gene,221358954,221423741,+,TOC.1T.01625
1,.,gene,221466585,221471938,-,TOC.1T.01626
1,.,gene,221505317,221576126,+,TOC.1T.01627
1,EVM,gene,221526158,221526472,-,TOC.1T.01628
1,EVM,gene,221535101,221535523,+,TOC.1T.01629
1,.,gene,221745577,221766997,+,TOC.1T.01630
1,.,gene,221789159,221798880,+,TOC.1T.01631
1,.,gene,221840287,221852563,+,TOC.1T.01632
1,.,gene,221933605,222003769,-,TOC.1T.01633
1,EVM,gene,222109121,222125496,-,TOC.1T.01634
1,.,gene,222420039,222603020,+,TOC.1T.01635
1,EVM,gene,222925300,222925836,-,TOC.1T.01636
1,EVM,gene,222926426,222927226,-,TOC.1T.01637
1,EVM,gene,223093168,223093724,-,TOC.1T.01638
1,EVM,gene,223377511,223424307,+,TOC.1T.01639
1,EVM,gene,223428240,223428539,+,TOC.1T.01640
1,EVM,gene,223441880,223448164,-,TOC.1T.01641
1,EVM,gene,223457215,223500137,-,TOC.1T.01642
1,.,gene,223500461,223596134,+,TOC.1T.01643
1,EVM,gene,223611369,223639836,-,TOC.1T.01644
1,.,gene,223711478,223729593,+,TOC.1T.01645
1,.,gene,223729891,223731401,-,TOC.1T.01646
1,EVM,gene,223850137,223870783,-,TOC.1T.01647
1,EVM,gene,223891840,223892088,-,TOC.1T.01648
1,EVM,gene,224066392,224067123,-,TOC.1T.01649
1,EVM,gene,224087508,224095330,-,TOC.1T.01650
1,EVM,gene,224794810,224795160,-,TOC.1T.01651
1,.,gene,225133931,225153891,+,TOC.1T.01652
1,.,gene,225160247,225170672,-,TOC.1T.01653
1,EVM,gene,225192476,225216053,-,TOC.1T.01654
1,EVM,gene,225217741,225243654,-,TOC.1T.01655
1,.,gene,225263178,225318972,-,TOC.1T.01656
1,.,gene,225364582,225423531,-,TOC.1T.01657
1,.,gene,225468060,225510819,-,TOC.1T.01658
1,EVM,gene,225540184,225544470,-,TOC.1T.01659
